dataset_name,run_label,method_family,coverage_target,budget,n_cells,n_attained,attainment_rate,mean_frontier_set_size,se_frontier_set_size,ci95_low_frontier_set_size,ci95_high_frontier_set_size,mean_coverage,mean_point_risk
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,60,10,10,1.0,1.5149590163934425,0.010249589500238935,1.4948698209729743,1.5350482118139108,0.8722540983606557,0.3733606557377048
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,120,10,10,1.0,1.5028991596638657,0.0026848779678768824,1.4976367988468269,1.5081615204809045,0.8652100840336135,0.3794957983193277
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,240,10,10,1.0,1.5,0.0011725431807877128,1.497701815365656,1.502298184634344,0.8614159292035397,0.3859734513274336
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,480,10,10,1.0,1.4986138613861386,0.000687546754323422,1.4972662697476646,1.4999614530246126,0.8607425742574257,0.3870792079207921
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,960,10,10,1.0,1.4953246753246754,0.0023065916545034135,1.4908037556818488,1.499845594967502,0.8615584415584415,0.38779220779220774
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,60,10,10,1.0,1.846762295081967,0.050630577233632054,1.7475263637040483,1.9459982264598858,0.9700819672131147,0.41290983606557374
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,120,10,10,1.0,1.6366386554621848,0.03246181977633717,1.573013488700564,1.7002638222238056,0.911218487394958,0.4045378151260503
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,240,10,10,1.0,1.5982300884955751,0.03025677391881894,1.53892681161469,1.6575333653764603,0.9086725663716815,0.36181415929203536
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,480,10,10,1.0,1.555,0.012668378199531455,1.5301699787289182,1.5798300212710816,0.8963366336633664,0.3448514851485148
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,960,10,10,1.0,1.594935064935065,0.02119263173927984,1.5533975067260766,1.6364726231440536,0.903051948051948,0.3674025974025974
