dataset_name,n_cells,n_disagree,disagreement_rate,wilson95_low,wilson95_high
ACS income,100,0,0.0,3.469446951953614e-18,0.03699349820698568
ANES96 vote,130,104,0.8,0.723078551876637,0.8597005114067041
Adult income,108,87,0.8055555555555556,0.7209648351663079,0.8691562227663517
Fair affairs,129,97,0.751937984496124,0.6708487306573387,0.8184563445581876
Fertility demography,90,12,0.13333333333333333,0.07794682040686314,0.21873930500697653
Modechoice car,110,54,0.4909090909090909,0.39938291230163087,0.583048795612881
RAND HIE visits,130,112,0.8615384615384616,0.7917354543069554,0.9105880322139944
Star98 education,144,22,0.1527777777777778,0.1031088593295453,0.22049088868645247
Combined,941,488,0.5185972369819342,0.48666210560273243,0.5503811461229966
