statistic,scope,n_tasks,min_split_seeds_per_task,max_split_seeds_per_task,n_cells,n_disagree,observed_rate,cell_wilson95_low,cell_wilson95_high,task_bootstrap95_low,task_bootstrap95_high,task_seed_bootstrap95_low,task_seed_bootstrap95_high,n_bootstrap
risk_frontier_rank_disagreement,combined,8,10,10,970,775,0.7989690721649485,0.7725911381597569,0.8229883524714702,0.7127422600619195,0.8877686712983065,0.7030554485945322,0.8851521549213744,2000
risk_frontier_rank_disagreement,coverage_0.8,8,10,10,520,417,0.801923076923077,0.7655076393286816,0.8339103615048095,0.7097781217750259,0.891675,0.6999561403508772,0.8961538461538462,2000
risk_frontier_rank_disagreement,coverage_0.9,8,10,10,450,358,0.7955555555555556,0.7558657933146918,0.8302419648685301,0.6979591836734694,0.8755688405797101,0.6911007751937984,0.8869565217391304,2000
fess_ress_bracket_disagreement,combined,8,10,10,941,488,0.5185972369819342,0.48666210560273243,0.5503811461229966,0.28314338089019325,0.730016321745277,0.2666527446300716,0.7438546723038919,2000
fess_ress_bracket_disagreement,coverage_0.8,8,10,10,503,280,0.5566600397614314,0.5129795273948767,0.5994816752317318,0.2968482684878587,0.7842401500938087,0.2760597826086957,0.8048431242561341,2000
fess_ress_bracket_disagreement,coverage_0.9,8,10,10,438,208,0.4748858447488584,0.4285411756313712,0.5216672089355285,0.27101839149446966,0.6572834265869187,0.2569779917207854,0.6750028801843319,2000
