dataset_name,run_label,method_family,coverage_target,group,n_cells,total_audit_n,mean_coverage,mean_set_size,mean_empty_set_rate,mean_one_label_rate,mean_two_label_rate,mean_point_risk,min_group_audit_n,max_group_audit_n
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,1,50,65526,0.851485007869303,1.5200450024058307,0.0,0.4799549975941695,0.5200450024058305,0.4222145055460298,935,1509
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,2,50,5457,0.8119730557568025,1.2345854599125579,0.0,0.7654145400874421,0.2345854599125579,0.32958308406272585,73,126
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,3,50,563,0.9004183594183595,1.1217546342546343,0.0,0.8782453657453658,0.12175463425463427,0.20871223221223217,5,14
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,5,50,227,0.7853333333333333,1.0,0.0,1.0,0.0,0.21466666666666664,2,5
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,6,50,17668,0.9138077868719175,1.7114698871150766,0.0,0.2885301128849232,0.7114698871150767,0.39449076016714635,246,411
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,7,50,430,0.7854682539682539,1.008,0.0,0.992,0.008,0.22053174603174605,4,10
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,8,50,12103,0.8966394336241562,1.3101443344971715,0.0,0.6898556655028285,0.31014433449717155,0.2073662494138006,166,282
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,9,50,4426,0.8381292825475397,1.3838924971405981,0.0,0.6161075028594017,0.3838924971405982,0.34263449829202947,55,103
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,1,50,65526,0.9151440479209784,1.6640315971278468,0.0,0.3359684028721531,0.6640315971278468,0.38211048163255157,935,1509
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,2,50,5457,0.8799432607006719,1.4854368507847755,0.0,0.5145631492152245,0.4854368507847755,0.3547811977791772,73,126
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,3,50,563,0.9256852591852591,1.3388112998112995,0.0,0.6611887001887001,0.33881129981129976,0.20051626151626148,5,14
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,5,50,227,0.8793333333333334,1.2556666666666667,0.0,0.7443333333333334,0.25566666666666665,0.30633333333333335,2,5
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,6,50,17668,0.9245122720081147,1.752216927481346,0.0,0.24778307251865425,0.7522169274813457,0.432571006683996,246,411
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,7,50,430,0.8235238095238097,1.2246031746031747,0.0,0.7753968253968254,0.22460317460317458,0.3296904761904762,4,10
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,8,50,12103,0.9443546653855277,1.5331497579813191,0.0,0.4668502420186808,0.5331497579813191,0.3090557550726725,166,282
ACS income,minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,9,50,4426,0.9169472057245694,1.5693403420772822,0.0,0.43065965792271776,0.5693403420772821,0.353483085528199,55,103
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,1,48,62807,0.7983160570198716,1.1371565222779638,0.00037287240864411286,0.8620977329047479,0.13752939468660785,0.2657012260502332,935,1509
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,2,48,5229,0.8072028326742554,1.1425343652600035,0.0,0.8574656347399965,0.1425343652600035,0.2534521573241592,73,126
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,3,48,542,0.8978507025382024,1.121032092907093,0.0,0.8789679070929072,0.1210320929070929,0.15517300986050986,5,14
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,5,48,218,0.8288194444444444,1.1072916666666668,0.0,0.8927083333333332,0.10729166666666667,0.2138888888888889,2,5
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,6,48,16954,0.7948158592348072,1.1465850421135382,0.0004826254826254826,0.852449706921211,0.1470676675961635,0.27313469012184943,246,411
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,7,48,411,0.8492642195767196,1.0849537037037036,0.0026041666666666665,0.909837962962963,0.08755787037037037,0.1748098544973545,4,10
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,8,48,11597,0.85456769555641,1.1072870017935241,0.00024224806201550387,0.8922285020824449,0.10752924985553962,0.18406495529229838,166,282
ACS income,minimax_acs_schema_budgetgrid,reference,0.8,9,48,4242,0.7889581853169206,1.1229884012953366,0.0008116883116883116,0.8753882220812869,0.1238000896070247,0.26403868048081885,55,103
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,1,49,64056,0.8881832293538432,1.3573532128152301,0.0,0.64264678718477,0.35735321281523014,0.262890667784428,935,1509
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,2,49,5335,0.9013941257919029,1.3837038576952345,0.0,0.6162961423047655,0.3837038576952345,0.25720992277362204,73,126
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,3,49,551,0.9554287549185507,1.3439926286865063,0.0,0.6560073713134937,0.3439926286865062,0.14296559449620674,5,14
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,5,49,222,0.8996598639455782,1.2948979591836736,0.0,0.7051020408163264,0.29489795918367345,0.24217687074829933,2,5
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,6,49,17275,0.8921713037060642,1.3838094818539246,0.0,0.6161905181460752,0.3838094818539247,0.27161406665203264,246,411
ACS income,minimax_acs_schema_budgetgrid,reference,0.9,7,49,421,0.9230887593132492,1.2512390670553937,0.0,0.7487609329446063,0.25123906705539356,0.18515549076773566,4,10
