run_label,method_family,coverage_target,n_cells,n_attained,mean_frontier_set_size,median_frontier_set_size,mean_coverage,mean_point_risk,attainment_rate
minimax_acs_schema_budgetgrid,llm_cached,0.8,50,50,1.5124229280689627,1.5004576087860886,0.8652256175468023,0.3879245429094476,1.0
minimax_acs_schema_budgetgrid,llm_cached,0.9,50,50,1.7539420724314068,1.7502100840336134,0.9387541872452395,0.45013350428002774,1.0
minimax_acs_schema_budgetgrid,llm_fixed_prompt_frontier,0.8,50,50,1.5124229280689627,1.5004576087860886,0.8652256175468023,0.3879245429094476,1.0
minimax_acs_schema_budgetgrid,llm_fixed_prompt_frontier,0.9,50,50,1.7539420724314068,1.7502100840336134,0.9387541872452395,0.45013350428002774,1.0
minimax_acs_schema_budgetgrid,llm_prompt_optimized,0.8,50,50,1.511865176765669,1.5012295081967213,0.8696445786114844,0.38140070748867494,1.0
minimax_acs_schema_budgetgrid,llm_prompt_optimized,0.9,50,50,1.7027011960525635,1.60303666921314,0.9327090415562117,0.3417478058134036,1.0
minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.8,50,50,1.5023593425536246,1.5,0.8642362254827353,0.38274026421949325,1.0
minimax_acs_schema_budgetgrid,llm_prompt_policy_frontier,0.9,50,50,1.6463132207949585,1.5991596638655463,0.9178723205390138,0.3783031786069543,1.0
minimax_acs_schema_budgetgrid,overall_frontier,0.8,100,98,1.3222576700980655,1.4922367236723673,0.8351977962100331,0.3206346244280634,0.98
minimax_acs_schema_budgetgrid,overall_frontier,0.9,100,99,1.4995060982389161,1.5214285714285714,0.905185493157362,0.3170431700972207,0.99
minimax_acs_schema_budgetgrid,reference,0.8,50,48,1.1346517612901916,1.0723487596111998,0.8049494323843018,0.255941249645324,0.96
minimax_acs_schema_budgetgrid,reference,0.9,50,49,1.3497029119572406,1.3376237623762377,0.8922397509311865,0.25453295733218645,0.98
minimax_adult_schema_budgetgrid,llm_cached,0.8,60,59,1.1633487481535463,1.0,0.8749227725177748,0.1804806136468032,0.9833333333333333
minimax_adult_schema_budgetgrid,llm_cached,0.9,50,48,1.4367740934021176,1.399193548387097,0.9665211370730523,0.18443014968342586,0.96
minimax_adult_schema_budgetgrid,llm_fixed_prompt_frontier,0.8,60,59,1.1633487481535463,1.0,0.8749227725177748,0.1804806136468032,0.9833333333333333
minimax_adult_schema_budgetgrid,llm_fixed_prompt_frontier,0.9,50,48,1.4367740934021176,1.399193548387097,0.9665211370730523,0.18443014968342586,0.96
minimax_adult_schema_budgetgrid,llm_prompt_optimized,0.8,60,60,1.1597275943643903,1.2105654761904763,0.893661717969614,0.1716335659906615,1.0
minimax_adult_schema_budgetgrid,llm_prompt_optimized,0.9,50,46,1.3844325781453235,1.2800480769230766,0.9615494078151862,0.16888554628517807,0.92
minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.8,60,60,1.1147965532418018,1.0,0.8688111845441376,0.17823318544385586,1.0
minimax_adult_schema_budgetgrid,llm_prompt_policy_frontier,0.9,50,48,1.359872143705309,1.28125,0.9604062142494603,0.1783595338912879,0.96
minimax_adult_schema_budgetgrid,overall_frontier,0.8,70,68,1.0150181515136802,0.9919354838709676,0.8136327592386113,0.19150806977923465,0.9714285714285714
minimax_adult_schema_budgetgrid,overall_frontier,0.9,60,60,1.2711640307497163,1.2598076923076924,0.9207653524790622,0.20178608991814634,1.0
minimax_adult_schema_budgetgrid,reference,0.8,70,66,1.068823953823954,1.05,0.8156926406926407,0.21495129870129864,0.9428571428571428
minimax_adult_schema_budgetgrid,reference,0.9,60,60,1.3287361111111111,1.3035714285714286,0.9133849206349206,0.2323253968253968,1.0
minimax_anes_real_promptopt,llm_cached,0.8,3,3,0.8717948717948718,0.8769230769230769,0.8205128205128206,0.07692307692307687,1.0
minimax_anes_real_promptopt,llm_cached,0.9,3,3,0.9589743589743591,0.953846153846154,0.8977466977466978,0.06635586635586627,1.0
minimax_anes_real_promptopt,llm_fixed_prompt_frontier,0.8,3,3,0.8717948717948718,0.8769230769230769,0.8205128205128206,0.07692307692307687,1.0
minimax_anes_real_promptopt,llm_fixed_prompt_frontier,0.9,3,3,0.9589743589743591,0.953846153846154,0.8977466977466978,0.06635586635586627,1.0
